Ship_critical		{Критическое попадание!}
Ship_sunk		{%1 "%2" потоплен. +%3 опыта.}
Ship_sunk_other		{%1 "%2" потоплен.}
Ship_got_good		{%1 ц %2 поднято на борт}
Ship_cant_got_good	{Нет места для %1}

Fort_destroy		{Форт %1 разрушен. +%2 опыта.}
Fort_cannon		{Орудие форта уничтожено!}

seg_Balls		{Ядер}
seg_Grapes		{Картечи}
seg_Knippels	{Книппелей}
seg_Bombs		{Бомб}
seg_Sailcloth	{Парусины}
seg_Planks		{Досок}
seg_Slaves		{Рабов}
seg_Wheat		{Пшеницы}
seg_Ebony		{Черного дерева}
seg_Chocolate	{Какао}
seg_Sugar		{Сахара}
seg_Wine		{Вина}
seg_Linen		{Полотна}
seg_Rum			{Рома}
seg_Tobacco		{Табака}
seg_Coffee		{Кофе}
seg_Mahogany	{Красного дерева}
seg_Cinnamon	{Корицы}
seg_Copra		{Копры}
seg_Paprika		{Перца}
seg_Fruits		{Фруктов}
seg_Ale			{Эля}
seg_Silk		{Шелка}
seg_Clothes		{Одежды}
seg_Cotton		{Хлопка}
seg_Sandal		{Сандала}
seg_Leather		{Кожи}
seg_Oil			{Масла}
seg_Food 	      {Провианта}
seg_Weapon  	{Оружия}
seg_Gold		{Золота}
seg_Silver		{Серебра}
seg_Powder		{Пороха}
seg_Brick		{Кирпичей}
seg_Medicament	{Лекарства}

seg_Cannon_12	{Пушек 12ф.}
seg_Cannon_16	{Пушек 16ф.}
seg_Cannon_24	{Пушек 24ф.}
seg_Cannon_32	{Пушек 32ф.}
seg_Cannon_42	{Пушек 42ф.}
seg_Culverine_12	{Кулеврин 12ф.}
seg_Culverine_16	{Кулеврин 16ф.}
seg_Culverine_24	{Кулеврин 24ф.}
seg_Culverine_32	{Кулеврин 32ф.}

sea_exp_add		{+%1 опыта}
